"","Specie.brown","Specie.yellow","Specie.green","Specie.turquoise","Specie.black","Specie.blue","Specie.red"
"SAM000218_tp1",0.0682118812581276,-0.00956800451296747,-0.0261233211913317,-0.0180889962243677,-0.014916600815376,-0.0185481954563904,-0.0292365195041689
"SAM000220_tp1",0.000156171614434079,-0.00742639644011421,-0.0135519085083687,-0.0153551701433872,-0.0112609577665204,-0.0274671717378861,-0.010738360114315
"SAM000220_tp2",-0.0112155484274589,-0.00541060591745454,-0.00723464776952387,-0.0233042111902184,-0.0132772661227713,0.00208587453724211,-0.00929463864135253
"SAM000220_tp3",0.0187304879550202,-0.0069410677681159,-0.0055985502668509,0.0137837847487937,-0.0112544678417975,-0.00521534789359056,-0.0125698934530046
"SAM000221_tp1",-0.0110704843664857,-0.00783987447672491,-0.00866561149892129,-0.0386586280788303,-0.00180430153311971,0.0210183516651959,-0.00678592763556668
"SAM000222_tp1",-0.0111741999673675,-0.00766521410754074,-0.0305209258016091,-0.0375795762481156,-0.00424320735481075,0.00907508529804897,-0.000233721513817362
"SAM000222_tp2",-0.0110704843664857,-0.00543965078278226,-0.0264515516061893,-0.0384745232538692,-0.00201171988393838,0.0155497720101098,0.051469008256891
"SAM000223_tp1",-0.0110704843664857,-0.00800067357942385,-0.0314395802906747,-0.0422309771493062,-0.0125523474871279,0.0188776901411428,-0.000924344166947895
"SAM000223_tp2",-0.0110704843664857,-0.00894591690868108,-0.0290918773423014,-0.0347446341119644,-0.0137817014540898,-0.000565263490241247,-0.00359605916050018
"SAM000224_tp1",-0.011138338465857,-0.00659140579363139,-0.0346560268448321,-0.0365942047064089,-0.00898604519750587,-0.0110088212862463,-0.00591182463495923
"SAM000225_tp1",0.0166228244092272,-0.00843699422437078,-0.0265882133749816,-0.0391586489243569,-0.0140406872043964,-0.00473951593551664,0.000888076958077869
"SAM000225_tp2",0.00839201616498511,-0.00378109983888712,-0.019639848427274,-0.0250762977524849,0.051666661800516,0.0948977137041662,-0.00546111773016064
"SAM000225_tp3",0.0126934726837442,-0.00274704529086705,-0.0339889887811364,0.032843388513386,-0.0130343724747665,0.00639533831111978,0.105300993301379
"SAM000226_tp1",-0.0111107034384322,-0.0084912330942518,-0.0251302873127483,-0.0255290146281579,-0.0130047189409355,0.0100638006902315,-0.0107437196243237
"SAM000226_tp2",0.0100514231392002,-0.00854604054268714,-0.0135189908626655,-0.0195951251846904,-0.0111935600369773,-0.0164202693858583,-0.0134355999903848
"SAM000227_tp1",-0.0111989656923752,-0.0112255708676917,-0.0110147251371029,-0.0235030283548592,-0.0158121217260573,-0.0228447263350818,-0.022165830593566
"SAM000227_tp2",-0.00993622163266599,-0.00145271496125527,-0.0105392833314713,-0.0350003635670523,-0.0146174167249162,-0.0198491939507728,-0.0228795261945346
"SAM000228_tp1",-0.00190349446263973,-0.0090679079824185,-0.0355601184610056,-0.0424652893159894,-0.00450472993129005,0.00974368133451613,0.0279257522484976
