"","Immune.magenta","Immune.blue","Immune.black","Immune.red","Immune.greenyellow","Immune.pink","Immune.purple","Immune.turquoise","Immune.brown","Immune.yellow"
"SAM000225_tp1",0.0185587375249783,-0.0195499003961983,0.104006375846371,-0.0243557379365076,-0.0541444545581107,-0.0180629919243689,-0.0430578179639132,-0.0105185151197812,-0.0572442750427716,-0.0463055373808101
"SAM000225_tp2",-0.000391869340038012,-0.0247085482108308,0.109715116002091,-0.00926266936943411,-0.00705638211930208,-0.0162525851957324,-0.0262088848587942,0.0149974175874945,-0.0517789344056251,-0.0449460583571852
"SAM000225_tp3",0.0211853330516216,-0.0153708498536385,0.163152621465258,-0.0438924824734949,-0.00177199109279019,-0.0279302927036878,-0.0349094245681936,-0.0284848234667789,-0.05510840071996,-0.0587020561020171
"SAM000203_tp1",0.0308336042419823,-0.0550523892854157,0.06609468162707,-0.023460997297945,-0.0098803429133962,-0.0495036164471954,-0.0235060772034559,-0.0394555071272173,-0.020659705513647,-0.00505350702260261
"SAM000203_tp2",0.053697682109402,-0.0622368519032844,0.0153156595543396,-0.00688200271555387,-0.0459150596602613,-0.0612465413976985,-0.0413554887152569,-0.0445793453571518,-0.046837376222576,-0.0278071971933195
"SAM000221_tp1",-0.00999003948919225,-0.0467172974221269,0.0995183040194544,0.0486114023056469,-0.0126834494958369,-0.0220469670991261,-0.00345945948169289,-0.0239330063295119,-0.0554477883301954,-0.0189718430605554
"SAM000227_tp1",0.0609011734518221,-0.0637690202342079,0.0200146941072946,0.0251393684641554,0.00844090453599126,-0.00398251779487353,0.137803075243568,0.0503836250473402,-0.00728261939756553,-0.0143336457207982
"SAM000227_tp2",0.0527394584665717,-0.0561152286008679,0.0445236244883749,0.0359921418998457,-0.0120412426715617,0.00499907332138763,0.142510368078964,0.0486373882761255,-0.0290422743372099,-0.073194691119206
"SAM000230_tp1",0.0653029618379853,-0.0411572975225579,0.105173077865946,0.0567232131096426,0.0386155158647856,-0.00548270183900832,0.0125864390054446,-0.0124168198333892,-0.02356340780349,-0.0176672327214478
"SAM000222_tp1",0.0279617244217245,-0.072773123576996,0.0496086372457986,-0.022126557708979,0.0271459964137522,-0.0401164557901317,0.0423728091513903,-0.00983832603847892,-0.0653965813624145,-0.0378723541803719
"SAM000222_tp2",0.046084150630363,-0.0796785968398258,0.0742249215882344,-0.0153327128384478,-0.0192600863184107,-0.0299948678224414,-0.001635457549188,-0.00818271384630799,-0.0775774618875006,-0.0286942136145484
"SAM000224_tp1",0.0400644103864821,-0.0712253117352894,0.0203568087231633,0.0485156907155481,-0.013039730339063,-0.0536259490889491,-0.025897283016532,-0.0561597546146018,-0.0606610228705952,-0.0303212276781951
"SAM000232_tp1",0.0302550002488919,-0.0665810652355446,0.122752093368168,0.0399587901626235,0.00540983935138471,-0.00456954389715466,-0.0145943942315064,-0.0475774961163408,0.00666320714606174,0.0518187723783063
"SAM000228_tp1",0.0185999526373916,-0.0672509957830206,0.144931892533523,0.0156927204615826,0.0263535859465632,-0.0471045626661509,0.0023869314221725,0.00236992268935949,-0.0819031099303941,-0.0510114844568797
"SAM000228_tp2",0.00338027323642961,-0.0534259546043703,0.211578952906041,0.00357859037627707,0.0155155799607138,-0.0305848200607272,0.0334351575976041,0.0108099978421388,-0.0621491593227528,-0.0305591406337048
"SAM000226_tp1",0.0511440053768979,0.0595145200594511,0.00132590080571785,-0.0243468519425519,-0.00890640679701171,-0.00388668097897898,-0.0121598732620272,0.0108021147726896,0.015566755069173,0.0344246495216951
"SAM000226_tp2",0.0794597404830322,0.0370123176968223,0.0103498509238792,-0.0267749363139836,-0.0262728871492906,0.00329203092376592,-0.0187617606212755,0.0140562102718679,0.00586301070512982,0.0356380668176289
"SAM000238_tp1",0.0823177546175128,-0.01098690005509,0.0258609388745902,-0.0126659216869266,0.00807228159892825,-0.035394380594105,-0.0412429776231986,-0.020723431586875,0.0269032342166745,-0.0303135873395372
"SAM000238_tp2",0.110292371892202,-0.0371014833282266,-0.0102997025300438,-0.00751750611699672,-0.120094423054625,-0.0547792117087266,-0.0504216640006097,-0.0236717223293493,0.0108362077701181,-0.0451963973014314
"SAM000242_tp1",0.053826344382458,0.0284132314751475,-0.0206780922437021,0.0152500358312594,0.0378728723535118,0.011835267609325,-0.0160094637450007,-0.0213903083585305,0.0155563307008155,0.114792478980797
"SAM000242_tp2",0.0784379538359264,0.0781823693488248,-0.0129917400012702,0.0230161330791405,0.0276495402523088,0.01668762341073,-0.0251750300888826,-0.0210912535306161,0.00136006928528394,0.0835154965789527
"SAM000235_tp1",-0.0163703018053789,0.0343042403073753,-0.0233993492232431,0.0114885306589072,0.0340650133126073,-0.021351607287934,0.00492363846403844,-0.0309538749352655,0.0390922573192804,-0.0307825811710805
"SAM000235_tp2",-0.0115863492515341,0.0150792318889968,0.0252405379632251,0.00654375493601025,0.0334856946882753,-0.0285731215861865,0.00169845530891409,-0.0114314619976727,0.0269471322654933,-0.0479747756268646
"SAM000223_tp1",0.109415186661633,-0.00209808652309516,0.00570826205988801,-0.0369802728290631,0.0423492576501295,0.0551313477818424,-0.00686833965992437,-0.0369579278128658,-0.000607892630982636,0.0405108978494142
"SAM000223_tp2",0.148166959167913,-0.0471248859777736,-0.00726538488317596,-0.0310784859237334,0.0222009319920853,0.0399242720769818,-0.0197661944231376,-0.0404745949774344,-0.0363577155678939,-0.00940611980105524
"SAM000223_tp3",0.121791876861031,-0.0142445253156719,-0.037134022436761,-0.0307665493656145,0.0349201915688091,0.0491161735140794,-0.00195965524799186,-0.026107585520528,-0.00702080093697896,0.00334761755089921
"SAM000231_tp1",-0.0228599948494338,0.0757089717589225,0.0319324337423951,-0.0177790419266706,0.0093850922992494,-0.0610446765468848,-0.0174763799413031,-0.0477555065300123,-0.0182542656172703,-0.033665213498587
"SAM000201_tp1",0.0576811971756882,-0.0667675798125289,-0.0611130032084236,-0.0872374418566867,0.05652569699234,-0.0591346528574246,0.032980539515728,0.0151194219068591,-0.0175468185297213,-0.0249845107880016
"SAM000201_tp2",0.0823283940256239,-0.0596024147268821,-0.0460601122392934,-0.0871189077030114,0.0601563729862755,-0.0664043260528111,-0.00622125913366079,0.0057883024918307,-0.0336144312329075,-0.0542965436536149
"SAM000201_tp3",0.0256137454785789,-0.0738074444971441,-0.0478267063594165,-0.0553196827158401,0.0542029108445484,-0.0623405990537865,0.0108686577804524,0.0651347534474488,-0.00427076075505385,-0.0431434890398719
