"","Metabolome.magenta","Metabolome.red","Metabolome.yellow","Metabolome.green","Metabolome.black","Metabolome.blue","Metabolome.turquoise","Metabolome.brown","Metabolome.pink"
"SAM000241_tp1",-0.016897194483375,-0.0324718348674905,0.0445488006695391,0.0519809177179603,0.0498551602270438,0.0868733423255047,0.0164317216412833,0.0704571744317219,0.005385580041847
"SAM000234_tp1",-0.0261206549704861,0.0271360685237207,0.00594417688311458,0.0234130184803504,0.0568996908150474,0.0776028165763003,-0.0323908753005719,0.0139890698879664,0.00602165226954895
"SAM000250_tp1",0.0327539535938899,-0.0323799216848878,-0.0623182606073741,-0.0530880605076185,-0.0644279782464663,-0.0875064194164091,0.110794774916178,-0.0110483968950181,0.0212957601955279
"SAM000236_tp1",0.0553224677080206,-0.00692999995764459,-0.0528499791138867,0.00391810537983034,0.00840698732656918,-0.0107097445561784,-0.0118847751094605,-0.00061850186317473,-0.0203178792644588
"SAM000213_tp1",0.00731853003989264,-0.0686518592064837,-0.0577081668621718,-0.0448579401967584,-0.0657304789050362,-0.0714351604602628,-0.0104627044188366,0.0266062368489505,-0.00295305708090036
"SAM000245_tp1",-0.0246509858842819,0.0328539982387164,0.0795298397994678,0.00248275511226641,-0.0197893121090467,0.0290394535915397,0.027543994253184,0.00842333944514629,0.0158922208062441
"SAM000201_tp1",0.0378789043154536,-0.0299302941713192,-0.056514378193926,-0.0227681681888953,-0.0211760267464489,-0.0053207910376205,0.0192847480209517,-0.0344213085535793,0.027300341643119
"SAM000204_tp1",-0.00204598625645391,0.0386644886042539,0.0421270391598075,0.00940671828581392,0.0925112606777008,0.0298080435343959,-0.0202669289478055,0.0507248627276082,-0.000229851948624937
"SAM000208_tp1",0.0388849346983928,-0.0604782355791743,-0.00925575319097887,0.0656881804007406,0.0360465965568065,0.0442846828979438,0.0385334981281343,0.0473202426849065,0.0938050726343276
"SAM000261_tp1",-0.00147944603183532,-0.0450048199703851,0.0552335178449519,0.0119221074835734,-0.0171724821675487,0.0203502594769319,0.0214126518195851,1.40448423835344e-05,-0.0443528669694203
"SAM000255_tp1",0.010813192926955,0.0073970172919405,0.101238049699817,0.00926197638374511,-0.00908343876061356,0.0480259480353884,0.152075649921598,0.0468417757673973,-0.0134441039748674
"SAM000251_tp1",-0.0172698985152157,-0.0609662720734402,-0.0580115886502603,-0.0191152217848924,0.00298874868053943,-0.0293191824152522,0.0441101379193433,0.0446034101909254,-0.112820939086548
"SAM000290_tp1",-0.0402019482761029,-0.0801153733137228,0.00364027337189509,-0.00691521759568818,0.00905964900908518,-0.0340397669622309,0.0144862463049349,0.00866687028978125,0.0415077647549567
