"","kingdom","phylum","class","order","family","genus","specie.1","Specie.mergedColors","Specie.brown","Specie.yellow","Specie.green","Specie.turquoise","Specie.black","Specie.blue","Specie.red","Specie.brown.p","Specie.yellow.p","Specie.green.p","Specie.turquoise.p","Specie.black.p","Specie.blue.p","Specie.red.p"
"Anaerotruncus_massiliensis","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Anaerotruncus","s__Anaerotruncus_massiliensis","yellow",-0.0434175847700312,0.0616960337593927,0.201729180652345,-0.0362616174155657,0.0748268213255065,0.0430257079435236,-0.0464698028719392,0.343025258591423,0.177645475157535,8.61318598168661e-06,0.42847080236308,0.101906605572827,0.347403046261191,0.31013805666935
"GGB9583_SGB15004","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__GGB9583","s__GGB9583_SGB15004","yellow",-0.0133560312124486,0.0565583055637515,0.0440999412709638,0.0401978573496227,0.0292742328105463,0.046081236126701,-0.0141208087591633,0.770622842635614,0.216609510039772,0.335486700191554,0.380036368218092,0.522718275093744,0.314205517978399,0.757886863518691
"Lawsonibacter_sp_NSJ_51","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiales_unclassified","g__Lawsonibacter","s__Lawsonibacter_sp_NSJ_51","yellow",-0.0335300260803892,0.0547157495906915,0.154856639781632,0.010693560965794,0.0119162711278084,0.00510766122538489,-0.0550552972910083,0.464089837601603,0.231977882405171,0.000671681318840349,0.815423484201421,0.794764916941722,0.911223606907036,0.229089278733318
"Lachnospiraceae_unclassified_SGB5063","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Lachnospiraceae_unclassified","s__Lachnospiraceae_unclassified_SGB5063","yellow",-0.0128537400682391,0.0351136675596786,-0.018917521898245,-0.00760807121221069,-0.0217742465766924,-0.0390571396721614,-0.00966701140708714,0.779021497455017,0.443242830396764,0.679617319697687,0.868095470682642,0.634527615124706,0.393715141261648,0.832867747249104
"Candidatus_Methanomassiliicoccus_intestinalis","k__Archaea","p__Candidatus_Thermoplasmatota","c__Thermoplasmata","o__Methanomassiliicoccales","f__Methanomassiliicoccaceae","g__Methanomassiliicoccus","s__Candidatus_Methanomassiliicoccus_intestinalis","yellow",-0.0219268748239792,0.0327087183328424,0.0517726375293047,-0.0533509023611927,-0.0127896267745199,-0.0227516046827636,-0.0507343129580174,0.632154338327581,0.475112175600079,0.258098217728893,0.243848666213581,0.780095392219186,0.619396049878758,0.267780933086417
"Rikenellaceae_bacterium","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae_unclassified","s__Rikenellaceae_bacterium","yellow",-0.0201627952214438,0.0321847169466107,0.0461960422908016,-0.0831867587129969,-0.0176558975034587,-0.0331661115168354,-0.0560648094451016,0.659809562707612,0.482218675847759,0.313000119800085,0.0689071383459145,0.699912474488137,0.468956148636042,0.220652149749988
"GGB1420_SGB1957","k__Bacteria","p__Bacteroidetes","c__CFGB602","o__OFGB602","f__FGB602","g__GGB1420","s__GGB1420_SGB1957","yellow",0.0108178124250501,0.0287906743920704,-0.0490406472391849,-0.024073117361042,-0.0283697909168455,-0.0363375697546719,-0.0258811398737716,0.813318058042838,0.529611835085016,0.284103210156995,0.599190130496135,0.535649184274597,0.427503609382514,0.572039001957607
"Bacteroides_nordii","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_nordii","yellow",-0.0475741087786947,0.0178635785718709,-0.012344118485654,-0.0142116528060062,-0.034251251570468,-0.0185670720278882,-0.0367801268027046,0.29876835844133,0.696556409777132,0.787569085312985,0.75637828950605,0.454528848317006,0.685232428649667,0.421893261888212
"Peptococcaceae_bacterium","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptococcaceae","g__Peptococcaceae_unclassified","s__Peptococcaceae_bacterium","yellow",-0.0208766206335592,0.0168825999424788,-0.0202126633213046,0.0384356291000914,-0.017061662373602,-0.00497774571309943,0.0283189917838649,0.648560380811639,0.712459727899397,0.6590211570633,0.401291371572583,0.709547265291002,0.913472711274807,0.536380201319388
"Ruminococcaceae_unclassified_SGB15265","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcaceae_unclassified","s__Ruminococcaceae_unclassified_SGB15265","yellow",0.00489817351812478,0.0102256435171513,0.170845548770446,-0.0102894011525019,-0.0294912181106664,-0.13442644399814,-0.110651238133558,0.914850611776264,0.823364098056953,0.000171945224837318,0.822281042701781,0.519639956093881,0.00320075493849692,0.0153998203644851
"Akkermansia_sp_BIOML_A40","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia_sp_BIOML_A40","yellow",-0.024362210951262,9.63196658694343e-05,0.0223979596268235,0.0211875155349528,0.0436214976681017,0.0222554233332287,0.00724438957973383,0.594809891448353,0.998322408249234,0.62485312841717,0.64368567360165,0.340761241710829,0.627058431751521,0.874347246661763
"GGB9621_SGB15073","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__GGB9621","s__GGB9621_SGB15073","yellow",-0.0214411036256067,-0.000194819886727736,0.0111409575303252,0.0231321446909161,0.00356934789185476,0.0317568524684934,-0.00590122520163492,0.639720787815831,0.996606845653817,0.807848731953715,0.613547226679066,0.937895558989898,0.488063823523513,0.897501429877519
"Odoribacter_laneus","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Odoribacteraceae","g__Odoribacter","s__Odoribacter_laneus","yellow",0.000753555382222605,-0.00282335010425848,0.0736742613501884,-0.0201425640416756,0.0029267537103346,-0.0255711892416936,-0.0313311185697526,0.986875967822994,0.950856920141097,0.107307027406955,0.660129521482753,0.94905947917844,0.576651922833407,0.493917468203875
"GGB9608_SGB15041","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__GGB9608","s__GGB9608_SGB15041","yellow",-0.0335548079316548,-0.00312527214491695,0.092665396466083,0.0981305596195601,-0.0135761260559605,-0.0584316170351286,-0.0664940283631767,0.463759473902466,0.945609411131029,0.042647504543544,0.031772140698496,0.766951071455373,0.201747729494226,0.146196234498375
