"","KEGG.yellow","KEGG.black","KEGG.brown","KEGG.purple","KEGG.red","KEGG.turquoise","KEGG.magenta","KEGG.blue","KEGG.green"
"SAM000210_tp2",0.00243809398613756,-0.00940547374600084,-0.0193515893987576,-0.0385023586491349,-0.0201247041486663,-0.0105797831205863,-0.0183145258463182,-0.0141134957451569,-0.0124238728954281
"SAM000210_tp3",-0.0569743389283125,-0.0487663321151723,0.0111063971832046,-0.0172552265044362,-0.00186516779711042,0.0229047350584163,0.00697122425744226,0.0578460142909673,0.00162250315873998
"SAM000211_tp1",0.0240758393667453,0.00678811702861723,-0.0190383361594581,-0.0437362565642834,-0.0192221701930356,-0.0132566863474906,-0.0197012176464102,-0.0215221393538942,-0.00928677442434819
"SAM000211_tp2",-0.0194934287831934,0.00296298734030233,-0.00314489668463134,-0.0442360018339674,0.00147622076763125,-0.0129190865350468,-0.00845926562025092,0.00693901272680052,-0.0121247385148622
"SAM000212_tp1",0.0776485731553398,0.0321943733151439,-0.0291590225832631,0.0191600084664921,-0.026066197746444,-0.0139422945858459,-0.0163629375915291,-0.0693363560533886,-0.0164651120987447
"SAM000212_tp2",0.0522501057577838,0.0286803241273986,-0.0281492484776627,0.0601959469253479,-0.0259081255229236,-0.0132308554995654,-0.0183421879188311,-0.0488095792368809,-0.0167353335653727
"SAM000212_tp3",-0.0616846599502167,-0.0765728911928203,0.00622074308661613,0.0137476085012707,-0.0140922165342592,-0.00626854000411599,0.0387534558239966,0.122622687551136,0.00477372383238789
"SAM000212_tp4",-0.00524768030840757,-0.04303079419068,-0.0272854592440571,0.0400829345074816,-0.0104874187470541,-0.00591791394840097,0.0567405037686141,0.0527159234775983,-0.00601826221360853
"SAM000213_tp1",0.00964094562419553,0.0156336091328825,-0.0203418042184675,0.0310528977734799,0.00504475070067465,-0.00836215563691665,-0.0239014815291706,-0.0541449123656715,-0.011335683108561
"SAM000213_tp2",0.00509828143483118,0.030299717515585,-0.00949306917309513,0.0609460476672028,0.112728371530612,-0.00758248593619193,-0.0178994999270391,-0.0548142911004785,-0.0116225948917914
"SAM000214_tp1",0.0461784227162025,0.0510274504200811,0.0193661685505786,0.0986954489093277,-0.0226274608181327,-0.0105069096933478,-0.00629309010908598,-0.0400605172736031,-0.00819574736241348
"SAM000214_tp2",0.0632851545688335,0.0206430285465885,-0.0316640103016191,-0.0295496543563185,-0.0209006707456075,-0.00708708337403186,0.0032290365394616,-0.0527378314486604,-0.0107187346551166
"SAM000214_tp3",0.0478543478880919,0.00901210946264747,-0.0254259613791162,-0.0335161662686655,-0.0181589729002396,-0.0114831882926423,0.0390835713019483,-0.0462969361306362,-0.000920699134103528
"SAM000216_tp1",0.0662563885842129,-0.00574262080823956,-0.03899483771955,0.0936715771989596,0.00571080278417847,-0.008769432151514,-0.0148951709307093,-0.0286435646168104,0.0116690372000273
"SAM000216_tp2",0.0662007237995136,0.0157992080870455,-0.0292871031358298,0.0403141255927639,0.00597799986736351,-0.00830315792583097,-0.0177728946003954,-0.0399750800014664,0.00442970230515816
