comparison,modality,variable,n_A,n_B,mean_A,mean_B,median_A,median_B,delta_mean,cohen_d,p_value,fdr_q
canonical_control vs ME_CFS_like_control,kegg,kegg__K22994,57,21,39.12279576924446,32.348971417489935,5.54042215332174,5.834710615131421,6.773824351754527,0.07741422634932243,0.6490722418745243,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K16874,57,21,1.4720034663348887,1.5403276676315467,0.0,0.0,-0.06832420129665806,-0.019443900897949336,0.6492217658146401,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K14762,57,21,4.413738841504461,5.885743414816454,0.0,0.0,-1.4720045733119926,-0.0760183590285525,0.6493839512179439,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K10800,57,21,10.202693730160616,21.8697899319337,2.03066284775367,0.0,-11.667096201773083,-0.29693380704475,0.6499758475427175,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K02248,57,21,4.28768520958247,2.3824589553219786,1.63285898444275,1.3313728482542435,1.9052262542604916,0.18265835468122738,0.6505907027714859,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K15539,57,21,16.372976349380085,24.268395062826638,3.274067069991444,4.55653654696141,-7.895418713446553,-0.10655760592420437,0.6505907027714859,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K21344,57,21,1.9280739696464249,1.9221129893265454,1.8189417981512275,1.254041529003235,0.005960980319879461,0.002968133145145361,0.651122928133399,1.0
canonical_control vs ME_CFS_like_control,immune_pct,immune_pct__% pDcs d0,56,21,3.547857142857143,3.494761904761905,2.9725,3.255,0.053095238095238084,0.025323752655485202,0.6514180282814614,1.0
canonical_control vs ME_CFS_like_control,immune_res,immune_res__% CD19+ CD3- CD27- IgG+ d0,56,21,-0.013732247927063592,-0.1348951734241386,-0.8634666019955664,-0.5234666019955675,0.121162925497075,0.04326606689558837,0.6514180282814614,1.0
canonical_control vs ME_CFS_like_control,immune_res,immune_res__% CD8+ RO- Va7.2- total TNFa+ d6,56,21,-3.5569836346783106,-0.6485681261406973,-5.599149178737376,-2.59444819313282,-2.9084155085376135,-0.17774876616905877,0.651420167623757,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K19139,57,21,15.450897821941888,14.10479763930963,9.316371423832251,13.1850301542135,1.3461001826322576,0.06945518286279896,0.651528776565643,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K00183,57,21,8.581377178546708,9.164495696520671,3.87713476614094,3.43737659634128,-0.5831185179739631,-0.04253861663793698,0.6516898949185586,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K07677,57,21,31.30718053161838,47.17227637458873,0.844537111557145,1.18236203227806,-15.865095842970355,-0.10159405375647274,0.6519423815077462,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K00547,57,21,22.9241307688515,14.899122244733459,12.538850136465,10.5564986883921,8.025008524118043,0.25529589337819775,0.6522582201742901,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K17218,57,21,63.77215026543073,60.06158391670161,46.889939528254835,43.704350839914895,3.710566348729124,0.06984642823889765,0.652270544253875,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K01447,57,21,202.13234774932823,223.94436185583268,185.534820894778,183.81412929546752,-21.81201410650445,-0.18542307920525,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K01551,57,21,302.68387797750324,252.23339100435555,230.762099566117,292.233873355757,50.45048697314769,0.2434638705437311,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K01711,57,21,2093.26702508538,2113.0761554061373,1956.19509107982,2009.75492705739,-19.809130320757504,-0.029694940471734134,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K01783,57,21,919.1281982682483,931.2782622733179,918.483178749047,937.738370218079,-12.150064005069567,-0.13127275661541324,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K01821,57,21,24.885054632537127,17.839099631840572,15.3743931465538,13.8166143941347,7.045955000696555,0.2982042038008347,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K02687,57,21,1061.6050069367102,1050.485663100314,1090.7864330885568,1087.03248604738,11.119343836396183,0.08070648736444641,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K02887,57,21,827.4405686653198,747.3641140201986,729.8076046562726,749.6143022302745,80.0764546451212,0.26964121731909124,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K03113,57,21,187.361682875842,179.9062081846519,182.05786220021068,185.4886695499385,7.455474691190119,0.1266928023692038,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K03655,57,21,5617.782142478945,5487.737991434814,5345.6351461994,5441.865315442845,130.04415104413147,0.12351229380294682,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K04041,57,21,2384.380165554428,2396.9297757377776,2361.978226531445,2404.83273104641,-12.549610183349614,-0.02510657298230194,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K05820,57,21,31.99429876610088,47.62444605852221,19.30038852526143,15.5617612589687,-15.63014729242133,-0.22080497904504323,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K06199,57,21,244.95904620863283,261.4913551496775,240.669948637355,233.562533480676,-16.532308941044647,-0.17120249006662203,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K07787,57,21,319.673923961024,338.5013888778578,249.345799754277,205.65089700862,-18.827464916833776,-0.06497793206401584,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K09680,57,21,418.7277412447049,444.30693580700836,411.37165750466795,425.4613994420995,-25.579194562303485,-0.15507104798202637,0.6522787595804336,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K09706,57,21,50.61639512013565,44.249447137001354,43.89530928474647,47.261127613944694,6.366947983134295,0.22455958016534242,0.6522787595804336,1.0
